Division,Part,Item,Pay Item,Description,Unit
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (1),Clearing and Grubbing (   ),Square Meter
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (2),Clearing and Grubbing (   ),Lump Sum
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (3)a1,Individual Removal of Trees ( 150 - 300 mm dia.  ),Each
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (3)a2,Individual Removal of Trees ( 301 - 500 mm dia.  ),Each
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (3)a3,Individual Removal of Trees ( 501 - 750  mm dia.  ),Each
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (3)a4,Individual Removal of Trees ( 751 - 900 mm dia.  ),Each
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (4),Individual Removal of Trees ( above 900 mm dia.  ),Each
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (5)a1,Earth Balling ( 150 - 300 mm dia.  ),Each
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (5)a2,Earth Balling ( 301 - 500 mm dia.  ),Each
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (5)a3,Earth Balling ( 501 - 700 mm dia.  ),Each
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (5)a4,Earth Balling ( 701 - 900 mm dia.  ),Each
DIVISION I - GENERAL,PART C,ITEM 800 - CLEARING AND GRUBBING,800 (5)a5,Earth Balling ( above 900 mm dia.  ),Each
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (1),Removal of Structures  and Obstruction (   ),Lump Sum
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (2),Removal of Actual Structures/Obstruction (   ),Each
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (3)a,Removal of Actual Structures/Obstruction (   PCCP),Square Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (3)b,Removal of Actual Structures/Obstruction (   ACP),Square Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (3)c,Removal of Actual Structures/Obstruction (   Sidewalk),Square Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (4)a1,Removal of Actual Structures/Obstruction ( 610 mm dia.  RCPC),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (4)a2,Removal of Actual Structures/Obstruction ( 760 mm dia.  RCPC),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (4)a3,Removal of Actual Structures/Obstruction ( 910 mm dia.  RCPC),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (4)a4,Removal of Actual Structures/Obstruction ( 1070 mm dia.  RCPC),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (4)a5,Removal of Actual Structures/Obstruction ( 1220 mm dia.  RCPC),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (4)a6,Removal of Actual Structures/Obstruction ( 1520 mm dia.  RCPC),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (4)b,Removal of Actual Structures/Obstruction (   Curb),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (4)c,Removal of Actual Structures/Obstruction (   Curb and Gutter),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (5)a1,Removal of Pipes other than Pipe Culverts ( 50 mm dia. PVC ),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (5)a2,Removal of Pipes other than Pipe Culverts ( 75 mm dia. PVC ),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (5)a3,Removal of Pipes other than Pipe Culverts ( 100 mm dia. PVC ),Linear Meter
DIVISION I - GENERAL,PART C,ITEM 801 – REMOVAL OF STRUCTURES AND OBSTRUCTIONS,801 (5)a4,Removal of Pipes other than Pipe Culverts ( 150 mm dia. PVC ),Linear Meter
