Material Code ,Material Description,Unit, Price 
MG01.0001,COMMON BORROW,CUM, 544.64 
MG01.0002,SELECTED BORROW,CUM, 585.20 
MG01.0003,AGGREGATE SUBBASE COURSE,CUM, 865.84 
MG01.0004,AGGREGATE BASE COURSE,CUM," 1,055.84 "
MG01.0005,AGGREGATE BASE COURSE (CRUSHED),CUM," 1,005.84 "
MG01.0006,AGGREGATE SURFACE COURSE,CUM," 1,095.84 "
MG01.0007,AGGREGATE SURFACE COURSE (CRUSHED),CUM," 1,065.84 "
MG01.0008,FINE AGGREGATE (SAND),CUM, 930.13 
MG01.0009,"GRAVEL, 3/4"" (MAS 20 mm)",CUM," 1,242.63 "
MG01.0010,"GRAVEL, G1 (MAS 40 mm)",CUM," 1,242.63 "
MG01.0011,"GRAVEL, NATURAL",CUM," 1,105.84 "
MG01.0012,"STONE, CLASS A (15 - 25 kg)",CUM," 1,153.34 "
MG01.0013,"STONE, CLASS B (30 - 70 kg)",CUM," 1,010.48 "
MG01.0014,"STONE, CLASS C (60 - 100 kg)",CUM, 965.84 
MG01.0015,"STONE, CLASS D (100 - 200 kg)",CUM, 885.48 
MG02.0001,"ASPHALT CEMENT, PENETRATION GRADE 30-50",MTON," 57,640.00 "
MG02.0002,"ASPHALT CEMENT, PENETRATION GRADE 60-70",MTON," 58,080.00 "
MG02.0003,"ASPHALT CEMENT, PENETRATION GRADE 85-100",MTON," 58,872.00 "
MG02.0004,"ASPHALT CEMENT, PENETRATION GRADE 120-150",MTON," 43,032.00 "
MG02.0005,"ASPHALT CONCRETE, COLD-LAID (PLANT MIX)",MTON," 8,800.00 "
MG02.0006,"ASPHALT CONCRETE, HOT-LAID (PLANT MIX)",MTON," 8,870.40 "
MG02.0007,"CUT-BACK ASPHALT, MC30",MTON," 41,580.00 "
MG02.0008,"CUT-BACK ASPHALT, MC70",MTON," 55,000.00 "
MG02.0009,"CUT-BACK ASPHALT, MC250",MTON," 38,720.00 "
MG02.0010,"CUT-BACK ASPHALT, MC800",MTON," 44,000.00 "
MG02.0011,"CUT-BACK ASPHALT, MC3000",MTON," 29,920.00 "
MG02.0012,"CUT-BACK ASPHALT, RC70",MTON," 40,480.00 "
MG02.0013,"CUT-BACK ASPHALT, RC250",MTON," 41,096.00 "
MG02.0014,"CUT-BACK ASPHALT, RC800",MTON," 41,536.00 "
MG02.0015,"CUT-BACK ASPHALT, RC3000",MTON," 39,688.00 "
MG02.0016,"EMULSIFIED ASPHALT, ANIONIC",MTON," 42,944.00 "
MG02.0017,"EMULSIFIED ASPHALT, CATIONIC CRS-1",MTON," 57,200.00 "
MG02.0018,"EMULSIFIED ASPHALT, CATIONIC CRS-2",MTON," 58,080.00 "
MG02.0019,"EMULSIFIED ASPHALT, CATIONIC SS1",MTON," 64,455.60 "
MG02.0020,TAR / ASPHALT PAINT,GAL, 576.40 
MG03.0001,"MASONRY CEMENT / HYDRATED LIME, TYPE N (40 kg)",BAG, 300.00 
MG03.0002,PORTLAND CEMENT (40 kg),BAG, 232.14 
MG03.0003,"PORTLAND-POZZOLAN CEMENT, TYPE 1P (40 kg)",BAG, 265.00 
MG04.0000,CONCRETE HOLLOW BLOCK,NONE,
MG04.0001,"CHB LOAD BEARING (4"" x 8"" x 16"")",PC, 22.88 
MG04.0002,"CHB LOAD BEARING (6"" x 8"" x 16"")",PC, 27.28 
MG04.0003,"CHB ORDINARY (4"" x 8"" x 16"")",PC, 12.95 
MG04.0004,"CHB ORDINARY (6"" x 8"" x 16"")",PC, 14.33 
MG05.0001,CEMENT WATERPROOFING COMPOUND,KG, 45.76 
MG05.0002,CONCRETE EPOXY (PART A & B SET),GAL, 627.44 
MG05.0003,CONCRETE NEUTRALIZER,LTR, 169.40 
MG05.0004,CURING COMPOUND,LTR, 70.40 
MG05.0005,PVC SOLVENT CEMENT,LTR, 145.20 
MG05.0006,RUST CONVERTER/REMOVER,GAL, 585.20 
MG05.0007,TERMICIDE (CLEAR),LTR, 523.60 
MG05.0008,DIESEL GEAR OIL,LTR, 256.96 
MG05.0009,DIESEL,LTR, 44.40 
MG05.0010,"GASOLINE, PREMIUM",LTR, 50.09 
MG05.0011,"GASOLINE, REGULAR",LTR, 48.66 
MG05.0012,GREASE,LTR, 330.91 
MG05.0013,KEROSINE,LTR, 64.19 
MG05.0014,LIQUIFIED PETROLEUM GAS (LPG),KG, 92.16 
MG06.0001,"COMMON WIRE NAIL, ASSORTED",KG, 58.57 
MG06.0002,"CONCRETE NAIL, ASSORTED",KG, 78.58 
MG06.0003,COCO LUMBER,BDFT, 20.04 
MG06.0004,GOOD LUMBER,BDFT, 37.72 
MG06.0005,FORM OIL,LTR, 19.49 
MG06.0006,"MARINE PLYWOOD (1/4"" x 4' x 8')",PC, 322.14 
MG06.0007,"MARINE PLYWOOD (1/2"" x 4' x 8')",PC, 577.50 
MG06.0008,"MARINE PLYWOOD (3/4"" x 4' x 8')",PC, 856.42 
MG06.0009,"ORDINARY PLYWOOD (1/4"" x 4' x 8')",PC, 298.58 
MG06.0010,"ORDINARY PLYWOOD (1/2"" x 4' x 8')",PC, 511.33 
MG06.0011,"ORDINARY PLYWOOD (3/4"" x 4' x 8')",PC, 825.00 
MG06.0012,STEEL FORM (150 mm width),M, 40.48 
MG06.0013,STEEL FORM (200 mm width),M, 42.24 
MG06.0014,STEEL FORM (230 mm width),M, 44.00 
MG06.0015,STEEL FORM (250 mm width),M, 46.64 
MG06.0016,STEEL FORM (280 mm width),M, 49.28 
MG06.0017,STEEL FORM (300 mm width),M, 52.80 
MG07.0001,EPOXY PRIMER WITH CATALYST (SET),GAL, 886.16 
MG07.0002,RED OXIDE METAL PRIMER,GAL, 486.64 
MG07.0003,SOLVENT-BASED PRIMER,GAL, 981.20 
MG07.0004,TINTING COLOR,LTR, 195.36 
MG07.0005,ALUMINUM PAINT,GAL, 690.80 
MG07.0006,"LATEX PAINT, GLOSS",GAL, 743.60 
MG07.0007,"LATEX PAINT, SEMI-GLOSS",GAL, 743.60 
MG07.0008,QUICK-DRYING ENAMEL PAINT,GAL, 778.80 
MG07.0009,LACQUER THINNER,GAL, 497.20 
MG07.0010,PAINT THINNER,GAL, 396.00 
MG07.0011,GLAZING PUTTY,GAL, 638.00 
MG08.0001,"GI PIPE, SCHEDULE 40 (1/2"" | 12.7 mm Ø)",PC, 274.22 
MG08.0002,"GI PIPE, SCHEDULE 40 (3/4"" | 19 mm Ø)",PC, 365.36 
MG08.0003,"GI PIPE, SCHEDULE 40 (1"" | 25.4 mm Ø)",PC, 608.92 
MG08.0004,"GI PIPE, SCHEDULE 40 (1 1/2"" | 38 mm Ø)",PC, 917.72 
MG08.0005,"GI PIPE, SCHEDULE 40 (2"" | 50 mm Ø)",PC," 1,168.36 "
MG08.0006,"GI PIPE, SCHEDULE 40 (2 1/2"" | 63 mm Ø)",PC," 2,112.00 "
MG08.0007,"GI PIPE, SCHEDULE 40 (3"" | 76 mm Ø)",PC," 3,873.21 "
MG08.0008,"GI PIPE, SCHEDULE 40 (3 1/2"" | 89 mm Ø)",PC," 4,567.20 "
MG08.0009,"GI PIPE, SCHEDULE 40 (4"" | 101 mm Ø)",PC," 5,718.24 "
MG08.0010,"GI PIPE, SCHEDULE 40 (5"" | 127 mm Ø)",PC," 7,757.20 "
MG08.0011,"GI PIPE, SCHEDULE 40 (6"" | 152.4 mm Ø)",PC," 12,676.40 "
MG08.0012,"PVC PIPE (1/2"" | 12.7 mm Ø)",PC, 58.92 
MG08.0013,"PVC PIPE (3/4"" | 19 mm Ø)",PC, 88.00 
MG08.0014,"PVC PIPE (1"" | 25.4 mm Ø)",PC, 129.09 
MG08.0015,"PVC PIPE (1 1/2"" | 38 mm Ø)",PC, 213.72 
MG08.0016,"PVC PIPE (2"" | 50 mm Ø)",PC, 295.04 
MG08.0017,"PVC PIPE (2 1/2"" | 63 mm Ø)",PC, 377.14 
MG08.0018,"PVC PIPE (3"" | 76 mm Ø)",PC, 463.58 
MG08.0019,"PVC PIPE (3 1/2"" | 89 mm Ø)",PC, 572.00 
MG08.0020,"PVC PIPE (4"" | 101 mm Ø)",PC, 670.56 
MG08.0021,"REINFORCED CONCRETE PIPE, CLASS II (12"" | 300 mm Ø)",PC, 440.58 
MG08.0022,"REINFORCED CONCRETE PIPE, CLASS II (18"" | 460 mm Ø)",PC, 921.69 
