NO,Complete Description,DESCRIPTION,MODEL,CAPACITY,FLYWHEEL HORSEPOWER, RENTAL RATES 
1,Bulldozer DX175 ,Bulldozer,DX175,,167," 3,824.00 "
2,Bulldozer w/ Ripper DX175 ,Bulldozer w/ Ripper,DX175,,167," 4,397.60 "
3,Payloader LX80-2C 1.50 cu.m./1.95 cu.yd.,Payloader,LX80-2C,1.50 cu.m./1.95 cu.yd.,110," 1,733.00 "
4,Motorized Road Grader G710B ,Motorized Road Grader,G710B,,163," 3,298.00 "
5,Motorized Road Grader w/ Scarifier G710B ,Motorized Road Grader w/ Scarifier,G710B,,163," 3,792.70 "
6,"Pneumatic Tire Roller 9-WHL, 9.00x20, 4PR 10 mt",Pneumatic Tire Roller,"9-WHL, 9.00x20, 4PR",10 mt,107, 589.00 
7,Vibratory Roller SD100DC 10 mt,Vibratory Roller,SD100DC,10 mt,125," 1,939.00 "
8,Tandem Steel Roller HD110 11 mt,Tandem Steel Roller,HD110,11 mt,134," 2,164.00 "
9,Plate Compactor 400-500 Gasoline Engine ,Plate Compactor,400-500 Gasoline Engine,,5, 129.25 
10,"Crawler Crane, Standard Boom All Models 6-10 mt","Crawler Crane, Standard Boom",All Models,6-10 mt,100, 860.00 
11,"Crawler Crane, Standard Boom All Models 21-25 mt","Crawler Crane, Standard Boom",All Models,21-25 mt,145," 1,918.00 "
12,"Crawler Crane, Standard Boom All Models 36-40 mt","Crawler Crane, Standard Boom",All Models,36-40 mt,190," 2,397.00 "
13,"Crawler Crane, Standard Boom All Models 36-40 mt","Crawler Crane, Standard Boom",All Models,36-40 mt,190," 2,876.00 "
14,"Crawler Crane, Standard Boom All Models 41-45 mt","Crawler Crane, Standard Boom",All Models,41-45 mt,190," 2,711.00 "
15,"Crawler Crane, Standard Boom All Models 51-60 mt","Crawler Crane, Standard Boom",All Models,51-60 mt,275," 3,500.00 "
16,"Crawler Crane, Standard Boom All Models 61-70 mt","Crawler Crane, Standard Boom",All Models,61-70 mt,275," 4,501.00 "
17,"Crawler Crane, Standard Boom All Models 71-80 mt","Crawler Crane, Standard Boom",All Models,71-80 mt,285," 4,530.00 "
18,"Truck-Mounted Crane, Standard Lattice Boom All Models 6-10 mt","Truck-Mounted Crane, Standard Lattice Boom",All Models,6-10 mt,100, 794.00 
19,"Truck-Mounted Crane, Standard Lattice Boom All Models 21-25 mt","Truck-Mounted Crane, Standard Lattice Boom",All Models,21-25 mt,200," 1,691.00 "
20,"Truck-Mounted Crane, Standard Lattice Boom All Models 31-35 mt","Truck-Mounted Crane, Standard Lattice Boom",All Models,31-35 mt,238," 2,055.00 "
21,"Truck-Mounted Crane, Standard Lattice Boom All Models 41-45 mt","Truck-Mounted Crane, Standard Lattice Boom",All Models,41-45 mt,246," 2,344.00 "
22,"Truck-Mounted Crane with Bucket, Standard Lattice Boom All Models 41-45 mt","Truck-Mounted Crane with Bucket, Standard Lattice Boom",All Models,41-45 mt,246," 2,812.80 "
23,"Truck-Mounted Crane, Standard Lattice Boom All Models 51-60 mt","Truck-Mounted Crane, Standard Lattice Boom",All Models,51-60 mt,280," 3,283.00 "
24,"Topless Tower Crane, Hydraulic Telescopic Boom All Models 2-5 mt","Topless Tower Crane, Hydraulic Telescopic Boom",All Models,2-5 mt,100, 718.00 
25,Topless Tower Crane MDT 98-1.2M 55M x 6T/1.2T,Topless Tower Crane,MDT 98-1.2M,55M x 6T/1.2T,," 5,851.00 "
26,Topless Tower Crane MDT 128 55M x 6T/1.6T,Topless Tower Crane,MDT 128,55M x 6T/1.6T,," 7,857.00 "
27,Topless Tower Crane MDT 132 G8 55M x 8T/1.6T,Topless Tower Crane,MDT 132 G8,55M x 8T/1.6T,," 8,092.00 "
28,Topless Tower Crane MDT 162 H8 60M x 8T/1.8T,Topless Tower Crane,MDT 162 H8,60M x 8T/1.8T,," 8,363.00 "
29,Topless Tower Crane MDT 178 60M x T/1.5T,Topless Tower Crane,MDT 178,60M x T/1.5T,," 8,906.00 "
30,Topless Tower Crane MDT 192-H12 60M x 12T/2.2T,Topless Tower Crane,MDT 192-H12,60M x 12T/2.2T,," 9,127.00 "
31,"Aerial Lift, Seld Propelled, Scissor Lift GS4080 Gas/Diesel Driven 40 ft hts x 46 ft Range","Aerial Lift, Seld Propelled, Scissor Lift",GS4080 Gas/Diesel Driven,40 ft hts x 46 ft Range,60," 1,455.00 "
32,"Straight Boom Lift, Telescopic (Gas/Diesel) 60H 1000 lb x 60' ht x 66' range","Straight Boom Lift, Telescopic (Gas/Diesel)",60H,1000 lb x 60' ht x 66' range,43," 1,373.00 "
33,Backhoe HD820 III 0.80 cu.m./1.05 cu.yd.,Backhoe,HD820 III,0.80 cu.m./1.05 cu.yd.,150," 2,543.00 "
34,Backhoe w/ Breaker HD820 III 0.80 cu.m./1.05 cu.yd.,Backhoe w/ Breaker,HD820 III,0.80 cu.m./1.05 cu.yd.,150," 3,305.90 "
